2015-09-15 10:24:00 DEBUG ExampleModuleaTest:30 - ++++++ Testing AeroMexico Module A Example...
2015-09-15 12:11:15 DEBUG ExampleModuleaTest:30 - ++++++ Testing AeroMexico Module A Example...
2015-09-15 12:25:02 DEBUG ExampleModuleaTest:30 - ++++++ Testing AeroMexico Module A Example...
2015-09-15 12:36:43 DEBUG ExampleModuleaTest:30 - ++++++ Testing AeroMexico Module A Example...
2015-09-15 13:22:24 DEBUG ExampleIntegrationTest:32 - ++++++ Integration Test AeroMexico Module A Example...
2015-09-15 13:22:24 DEBUG ExampleModuleaTest:31 - ++++++ Unit Test AeroMexico Module A Example...
2015-09-15 15:15:43 DEBUG ExampleIntegrationTest:32 - ++++++ Integration Test AeroMexico Module A Example...
2015-09-15 15:15:43 DEBUG ExampleModuleaTest:31 - ++++++ Unit Test AeroMexico Module A Example...
2015-09-15 15:15:44 DEBUG ExampleIntegrationTest:32 - ++++++ Integration Test AeroMexico Module A Example...
2015-09-15 15:17:24 DEBUG ExampleIntegrationTest:32 - ++++++ Integration Test AeroMexico Module A Example...
2015-09-15 15:17:24 DEBUG ExampleModuleaTest:31 - ++++++ Unit Test AeroMexico Module A Example...
2015-09-15 15:18:28 DEBUG ExampleIntegrationTest:32 - ++++++ Integration Test AeroMexico Module A Example...
2015-09-15 15:18:28 DEBUG ExampleModuleaTest:31 - ++++++ Unit Test AeroMexico Module A Example...
2015-09-15 15:18:29 DEBUG ExampleIntegrationTest:32 - ++++++ Integration Test AeroMexico Module A Example...
2015-09-15 15:19:26 DEBUG ExampleIntegrationTest:32 - ++++++ Integration Test AeroMexico Module A Example...
2015-09-15 15:19:26 DEBUG ExampleModuleaTest:31 - ++++++ Unit Test AeroMexico Module A Example...
2015-09-15 15:19:27 DEBUG ExampleIntegrationTest:32 - ++++++ Integration Test AeroMexico Module A Example...
2015-09-15 15:27:41 DEBUG ExampleIntegrationTest:32 - ++++++ Integration Test AeroMexico Module A Example...
2015-09-15 15:27:41 DEBUG ExampleModuleaTest:31 - ++++++ Unit Test AeroMexico Module A Example...
2015-09-15 15:27:42 DEBUG ExampleIntegrationTest:32 - ++++++ Integration Test AeroMexico Module A Example...
